barcodes,UMI,cell
1,866,true
2,751,true
3,736,true
4,727,true
5,696,true
6,615,true
7,603,true
8,601,true
9,594,true
10,594,true
11,589,true
12,589,true
13,581,true
14,579,true
15,572,true
16,570,true
17,567,true
18,564,true
19,559,true
20,558,true
21,556,true
22,555,true
23,549,true
24,549,true
25,544,true
26,543,true
27,540,true
28,532,true
29,532,true
30,531,true
31,531,true
32,529,true
33,528,true
34,526,true
35,525,true
36,524,true
37,524,true
38,523,true
39,521,true
40,520,true
41,520,true
42,519,true
43,519,true
44,518,true
45,518,true
46,517,true
47,517,true
48,515,true
49,514,true
50,512,true
51,512,true
52,511,true
53,511,true
54,509,true
55,509,true
56,507,true
57,507,true
58,506,true
59,505,true
60,503,true
61,502,true
62,502,true
63,502,true
64,501,true
65,501,true
66,501,true
67,500,true
68,498,true
69,498,true
70,497,true
71,496,true
72,495,true
73,495,true
74,495,true
75,494,true
76,494,true
77,493,true
78,492,true
79,491,true
80,491,true
81,491,true
82,491,true
83,490,true
84,489,true
85,489,true
86,489,true
87,488,true
88,488,true
89,487,true
90,487,true
91,487,true
92,486,true
93,486,true
94,485,true
95,484,true
96,484,true
97,484,true
98,483,true
99,482,true
100,482,true
101,481,true
102,481,true
103,480,true
104,480,true
105,479,true
106,478,true
107,478,true
108,477,true
109,477,true
110,476,true
111,476,true
112,476,true
113,474,true
114,474,true
115,473,true
116,473,true
117,473,true
118,472,true
119,471,true
120,470,true
121,469,true
122,469,true
123,469,true
124,469,true
125,469,true
126,469,true
127,468,true
128,467,true
129,467,true
130,467,true
131,467,true
132,466,true
133,466,true
134,466,true
135,466,true
136,466,true
137,465,true
138,465,true
139,465,true
140,465,true
141,463,true
142,463,true
143,462,true
144,462,true
145,462,true
146,462,true
147,462,true
148,462,true
149,461,true
150,461,true
151,461,true
152,461,true
153,461,true
154,459,true
155,459,true
156,458,true
157,456,true
158,455,true
159,455,true
160,455,true
161,454,true
162,454,true
163,454,true
164,454,true
165,454,true
166,454,true
167,454,true
168,452,true
169,452,true
170,450,true
171,449,true
172,449,true
173,448,true
174,448,true
175,448,true
176,448,true
177,447,true
178,447,true
179,447,true
180,447,true
181,446,true
182,446,true
183,446,true
184,445,true
185,445,true
186,445,true
187,444,true
188,444,true
189,443,true
190,443,true
191,443,true
192,442,true
193,442,true
194,442,true
195,441,true
196,441,true
197,441,true
198,441,true
199,440,true
200,440,true
201,440,true
202,440,true
203,438,true
204,438,true
205,438,true
206,437,true
207,437,true
208,437,true
209,437,true
210,436,true
211,436,true
212,435,true
213,435,true
214,434,true
215,434,true
216,434,true
217,434,true
218,434,true
219,434,true
220,434,true
221,434,true
222,434,true
223,434,true
224,434,true
225,434,true
226,434,true
227,433,true
228,433,true
229,433,true
230,432,true
231,432,true
232,432,true
233,432,true
234,432,true
235,432,true
236,432,true
237,431,true
238,430,true
239,430,true
240,430,true
241,430,true
242,430,true
243,429,true
244,429,true
245,429,true
246,429,true
247,429,true
248,428,true
249,428,true
250,428,true
251,428,true
252,428,true
253,428,true
254,428,true
255,427,true
256,427,true
257,427,true
258,426,true
259,426,true
260,426,true
261,425,true
262,425,true
263,425,true
264,424,true
265,424,true
266,424,true
267,424,true
268,424,true
269,424,true
270,424,true
271,423,true
272,423,true
273,423,true
274,423,true
275,422,true
276,422,true
277,421,true
278,420,true
279,419,true
280,419,true
281,419,true
282,419,true
283,418,true
284,418,true
285,418,true
286,417,true
287,417,true
288,417,true
289,417,true
290,417,true
291,417,true
292,416,true
293,416,true
294,415,true
295,415,true
296,415,true
297,415,true
298,415,true
299,415,true
300,413,true
301,413,true
302,412,true
303,412,true
304,412,true
305,412,true
306,412,true
307,412,true
308,411,true
309,411,true
310,411,true
311,411,true
312,411,true
313,410,true
314,410,true
315,410,true
316,409,true
317,409,true
318,409,true
319,409,true
320,409,true
321,409,true
322,409,true
323,408,true
324,408,true
325,408,true
326,408,true
327,408,true
328,408,true
329,408,true
330,407,true
331,407,true
332,407,true
333,407,true
334,407,true
335,406,true
336,406,true
337,406,true
338,406,true
339,406,true
340,405,true
341,405,true
342,405,true
343,404,true
344,404,true
345,404,true
346,404,true
347,404,true
348,403,true
349,403,true
350,403,true
351,403,true
352,402,true
353,402,true
354,402,true
355,402,true
356,402,true
357,402,true
358,402,true
359,402,true
360,401,true
361,401,true
362,401,true
363,401,true
364,401,true
365,401,true
366,401,true
367,401,true
368,400,true
369,400,true
370,400,true
371,400,true
372,400,true
373,400,true
374,400,true
375,399,true
376,399,true
377,399,true
378,398,true
379,398,true
380,398,true
381,398,true
382,397,true
383,397,true
384,397,true
385,396,true
386,396,true
387,396,true
388,396,true
389,395,true
390,395,true
391,395,true
392,395,true
393,395,true
394,394,true
395,394,true
396,394,true
397,394,true
398,394,true
399,394,true
400,393,true
401,393,true
402,392,true
403,392,true
404,392,true
405,392,true
406,392,true
407,392,true
408,392,true
409,392,true
410,392,true
411,391,true
412,390,true
413,390,true
414,390,true
415,390,true
416,390,true
417,389,true
418,389,true
419,389,true
420,389,true
421,389,true
422,389,true
423,389,true
424,389,true
425,389,true
426,389,true
427,389,true
428,388,true
429,388,true
430,388,true
431,388,true
432,388,true
433,388,true
434,388,true
435,387,true
436,387,true
437,387,true
438,387,true
439,387,true
440,386,true
441,386,true
442,386,true
443,386,true
444,386,true
445,386,true
446,386,true
447,386,true
448,386,true
449,385,true
450,385,true
451,385,true
452,385,true
453,385,true
454,385,true
455,384,true
456,384,true
457,384,true
458,384,true
459,383,true
460,383,true
461,383,true
462,383,true
463,383,true
464,383,true
465,383,true
466,382,true
467,382,true
468,382,true
469,382,true
470,382,true
471,382,true
472,382,true
473,381,true
474,381,true
475,381,true
476,381,true
477,381,true
478,381,true
479,381,true
480,381,true
481,381,true
482,380,true
483,380,true
484,380,true
485,380,true
486,380,true
487,379,true
488,379,true
489,379,true
490,379,true
491,379,true
492,379,true
493,379,true
494,379,true
495,378,true
496,378,true
497,378,true
498,378,true
499,378,true
500,378,true
501,378,true
502,378,true
503,378,true
504,378,true
505,377,true
506,377,true
507,377,true
508,377,true
509,377,true
510,376,true
511,376,true
512,376,true
513,376,true
514,376,true
515,376,true
516,375,true
517,375,true
518,375,true
519,374,true
520,374,true
521,374,true
522,374,true
523,374,true
524,373,true
525,373,true
526,373,true
527,373,true
528,373,true
529,372,true
530,372,true
531,372,true
532,372,true
533,372,true
534,372,true
535,372,true
536,372,true
537,372,true
538,372,true
539,372,true
540,372,true
541,372,true
542,371,true
543,371,true
544,371,true
545,371,true
546,371,true
547,371,true
548,371,true
549,371,true
550,371,true
551,370,true
552,370,true
553,370,true
554,370,true
555,370,true
556,370,true
557,369,true
558,369,true
559,369,true
560,369,true
561,369,true
562,369,true
563,369,true
564,368,true
565,368,true
566,368,true
567,367,true
568,367,true
569,367,true
570,367,true
571,367,true
572,366,true
573,366,true
574,366,true
575,366,true
576,366,true
577,366,true
578,366,true
579,366,true
580,365,true
581,365,true
582,365,true
583,365,true
584,365,true
585,365,true
586,365,true
587,365,true
588,364,true
589,364,true
590,364,true
591,364,true
592,364,true
593,364,true
594,364,true
595,364,true
596,364,true
597,364,true
598,363,true
599,363,true
600,363,true
601,363,true
602,363,true
603,363,true
604,363,true
605,363,true
606,363,true
607,363,true
608,362,true
609,362,true
610,362,true
611,362,true
612,362,true
613,362,true
614,362,true
615,362,true
616,362,true
617,362,true
618,362,true
619,362,true
620,362,true
621,361,true
622,361,true
623,361,true
624,361,true
625,361,true
626,361,true
627,361,true
628,361,true
629,360,true
630,360,true
631,360,true
632,360,true
633,359,true
634,359,true
635,359,true
636,359,true
637,359,true
638,358,true
639,358,true
640,358,true
641,358,true
642,358,true
643,358,true
644,358,true
645,358,true
646,358,true
647,358,true
648,358,true
649,357,true
650,357,true
651,357,true
652,357,true
653,357,true
654,357,true
655,357,true
656,357,true
657,356,true
658,356,true
659,356,true
660,356,true
661,355,true
662,355,true
663,355,true
664,355,true
665,355,true
666,355,true
667,355,true
668,354,true
669,354,true
670,354,true
671,354,true
672,353,true
673,353,true
674,353,true
675,352,true
676,351,true
677,351,true
678,351,true
679,351,true
680,351,true
681,351,true
682,351,true
683,350,true
684,350,true
685,350,true
686,350,true
687,350,true
688,350,true
689,350,true
690,349,true
691,349,true
692,349,true
693,349,true
694,349,true
695,348,true
696,348,true
697,348,true
698,348,true
699,348,true
700,348,true
701,348,true
702,348,true
703,348,true
704,348,true
705,347,true
706,347,true
707,347,true
708,347,true
709,347,true
710,347,true
711,347,true
712,347,true
713,347,true
714,346,true
715,346,true
716,346,true
717,346,true
718,346,true
719,346,true
720,346,true
721,345,true
722,345,true
723,345,true
724,345,true
725,345,true
726,345,true
727,345,true
728,345,true
729,344,true
730,344,true
731,344,true
732,344,true
733,344,true
734,344,true
735,344,true
736,344,true
737,344,true
738,343,true
739,343,true
740,343,true
741,343,true
742,343,true
743,343,true
744,343,true
745,343,true
746,343,true
747,342,true
748,342,true
749,342,true
750,341,true
751,341,true
752,341,true
753,341,true
754,340,true
755,340,true
756,340,true
757,340,true
758,340,true
759,340,true
760,340,true
761,339,true
762,339,true
763,339,true
764,339,true
765,339,true
766,339,true
767,339,true
768,339,true
769,338,true
770,338,true
771,338,true
772,338,true
773,338,true
774,338,true
775,338,true
776,338,true
777,338,true
778,337,true
779,337,true
780,337,true
781,337,true
782,336,true
783,336,true
784,336,true
785,336,true
786,336,true
787,336,true
788,336,true
789,336,true
790,336,true
791,336,true
792,335,true
793,335,true
794,335,true
795,335,true
796,335,true
797,335,true
798,335,true
799,335,true
800,335,true
801,335,true
802,335,true
803,335,true
804,335,true
805,335,true
806,334,true
807,334,true
808,334,true
809,334,true
810,334,true
811,334,true
812,334,true
813,334,true
814,333,true
815,333,true
816,333,true
817,333,true
818,333,true
819,333,true
820,333,true
821,332,true
822,332,true
823,332,true
824,332,true
825,332,true
826,332,true
827,332,true
828,331,true
829,331,true
830,331,true
831,331,true
832,331,true
833,330,true
834,330,true
835,330,true
836,330,true
837,330,true
838,329,true
839,329,true
840,329,true
841,329,true
842,329,true
843,329,true
844,329,true
845,329,true
846,329,true
847,329,true
848,328,noise
849,328,noise
850,328,noise
851,328,noise
852,328,noise
853,328,noise
854,327,noise
855,327,noise
856,327,noise
857,327,noise
858,327,noise
859,327,noise
860,327,noise
861,327,noise
862,327,noise
863,326,noise
864,326,noise
865,326,noise
866,326,noise
867,326,noise
868,326,noise
869,325,noise
870,325,noise
871,325,noise
872,325,noise
873,325,noise
874,325,noise
875,324,noise
876,324,noise
877,324,noise
878,324,noise
879,324,noise
880,323,noise
881,323,noise
882,323,noise
883,323,noise
884,323,noise
885,323,noise
886,323,noise
887,323,noise
888,323,noise
889,322,noise
890,322,noise
891,321,noise
