barcodes,UMI,cell
1,2145,true
2,1898,true
3,1396,true
4,1284,true
5,1263,true
6,1197,true
7,1109,true
8,994,true
9,948,true
10,943,true
11,914,true
12,911,true
13,885,true
14,879,true
15,845,true
16,817,true
17,805,true
18,802,true
19,786,true
20,778,true
21,777,true
22,754,true
23,754,true
24,750,true
25,744,true
26,728,true
27,709,true
28,677,true
29,676,true
30,668,true
31,666,true
32,661,true
33,650,true
34,650,true
35,650,true
36,648,true
37,642,true
38,639,true
39,632,true
40,631,true
41,622,true
42,618,true
43,617,true
44,613,true
45,588,true
46,584,true
47,583,true
48,581,true
49,579,true
50,574,true
51,563,true
52,560,true
53,554,true
54,552,true
55,549,true
56,549,true
57,548,true
58,541,true
59,540,true
60,539,true
61,538,true
62,532,true
63,531,true
64,530,true
65,529,true
66,528,true
67,528,true
68,520,true
69,516,true
70,505,true
71,505,true
72,504,true
73,502,true
74,498,true
75,495,true
76,494,true
77,492,true
78,489,true
79,489,true
80,488,true
81,488,true
82,487,true
83,487,true
84,485,true
85,485,true
86,484,true
87,483,true
88,480,true
89,480,true
90,478,true
91,470,true
92,469,true
93,468,true
94,465,true
95,462,true
96,460,true
97,460,true
98,459,true
99,458,true
100,456,true
101,451,true
102,450,true
103,449,true
104,449,true
105,448,true
106,448,true
107,447,true
108,446,true
109,444,true
110,442,true
111,442,true
112,439,true
113,438,true
114,437,true
115,437,true
116,436,true
117,436,true
118,432,true
119,432,true
120,431,true
121,431,true
122,430,true
123,429,true
124,429,true
125,428,true
126,427,true
127,426,true
128,423,true
129,422,true
130,420,true
131,419,true
132,418,true
133,414,true
134,413,true
135,411,true
136,411,true
137,410,true
138,410,true
139,408,true
140,408,true
141,408,true
142,407,true
143,407,true
144,406,true
145,406,true
146,405,true
147,404,true
148,400,true
149,399,true
150,398,true
151,397,true
152,396,true
153,393,true
154,392,true
155,390,true
156,389,true
157,389,true
158,388,true
159,385,true
160,384,true
161,383,true
162,380,true
163,380,true
164,380,true
165,378,true
166,378,true
167,377,true
168,376,true
169,375,true
170,375,true
171,374,true
172,373,true
173,373,true
174,372,true
175,372,true
176,371,true
177,371,true
178,369,true
179,368,true
180,368,true
181,367,true
182,367,true
183,366,true
184,366,true
185,365,true
186,364,true
187,364,true
188,364,true
189,363,true
190,363,true
191,363,true
192,362,true
193,361,true
194,361,true
195,361,true
196,360,true
197,360,true
198,360,true
199,358,true
200,357,true
201,356,true
202,355,true
203,354,true
204,353,true
205,352,true
206,351,true
207,350,true
208,350,true
209,350,true
210,349,true
211,348,true
212,347,true
213,345,true
214,345,true
215,344,true
216,344,true
217,343,true
218,342,true
219,341,true
220,341,true
221,341,true
222,341,true
223,341,true
224,340,true
225,340,true
226,339,true
227,338,true
228,337,true
229,337,true
230,336,true
231,336,true
232,335,true
233,334,true
234,334,true
235,333,true
236,331,true
237,331,true
238,331,true
239,330,true
240,330,true
241,330,true
242,330,true
243,329,true
244,328,true
245,328,true
246,327,true
247,327,true
248,327,true
249,326,true
250,326,true
251,325,true
252,325,true
253,325,true
254,325,true
255,325,true
256,325,true
257,324,true
258,324,true
259,324,true
260,324,true
261,323,true
262,323,true
263,322,true
264,322,true
265,321,true
266,321,true
267,320,true
268,320,true
269,319,true
270,319,true
271,319,true
272,318,true
273,317,true
274,317,true
275,316,true
276,316,true
277,315,true
278,315,true
279,313,true
280,313,true
281,313,true
282,313,true
283,313,true
284,312,true
285,312,true
286,312,true
287,312,true
288,311,true
289,311,true
290,311,true
291,311,true
292,311,true
293,310,true
294,310,true
295,310,true
296,310,true
297,310,true
298,310,true
299,309,true
300,309,true
301,309,true
302,309,true
303,309,true
304,308,true
305,307,true
306,307,true
307,306,true
308,306,true
309,304,true
310,304,true
311,304,true
312,304,true
313,304,true
314,304,true
315,304,true
316,304,true
317,303,true
318,303,true
319,303,true
320,303,true
321,303,true
322,303,true
323,302,true
324,302,true
325,301,true
326,300,true
327,300,true
328,300,true
329,300,true
330,300,true
331,299,true
332,299,true
333,299,true
334,299,true
335,298,true
336,298,true
337,297,true
338,297,true
339,297,true
340,297,true
341,297,true
342,297,true
343,296,true
344,296,true
345,296,true
346,296,true
347,296,true
348,296,true
349,295,true
350,295,true
351,295,true
352,294,true
353,293,true
354,293,true
355,293,true
356,293,true
357,292,true
358,292,true
359,291,true
360,290,true
361,290,true
362,290,true
363,290,true
364,289,true
365,289,true
366,289,true
367,289,true
368,289,true
369,289,true
370,289,true
371,288,true
372,288,true
373,287,true
374,287,true
375,285,true
376,285,true
377,285,true
378,284,true
379,284,true
380,284,true
381,284,true
382,283,true
383,283,true
384,283,true
385,283,true
386,283,true
387,283,true
388,283,true
389,282,true
390,282,true
391,282,true
392,282,true
393,282,true
394,282,true
395,281,true
396,281,true
397,281,true
398,281,true
399,281,true
400,281,true
401,281,true
402,280,true
403,280,true
404,280,true
405,280,true
406,280,true
407,279,true
408,279,true
409,278,true
410,277,true
411,277,true
412,276,true
413,276,true
414,276,true
415,276,true
416,275,true
417,275,true
418,275,true
419,275,true
420,275,true
421,274,true
422,274,true
423,274,true
424,274,true
425,273,true
426,273,true
427,272,true
428,272,true
429,272,true
430,271,true
431,271,true
432,271,true
433,270,true
434,270,true
435,270,true
436,270,true
437,270,true
438,270,true
439,270,true
440,270,true
441,269,true
442,269,true
443,268,true
444,268,true
445,267,true
446,267,true
447,267,true
448,267,true
449,267,true
450,267,true
451,266,true
452,266,true
453,266,true
454,265,true
455,265,true
456,265,true
457,265,true
458,265,true
459,265,true
460,265,true
461,265,true
462,264,true
463,264,true
464,264,true
465,264,true
466,264,true
467,263,true
468,263,true
469,263,true
470,262,true
471,262,true
472,262,true
473,261,true
474,261,true
475,261,true
476,261,true
477,261,true
478,260,true
479,260,true
480,260,true
481,259,true
482,259,true
483,259,true
484,259,true
485,259,true
486,259,true
487,258,true
488,258,true
489,258,true
490,258,true
491,257,true
492,257,true
493,257,true
494,257,true
495,256,true
496,256,true
497,256,true
498,255,true
499,255,true
500,255,true
501,255,true
502,255,true
503,255,true
504,255,true
505,254,true
506,254,true
507,254,true
508,254,true
509,254,true
510,254,true
511,253,true
512,253,true
513,253,true
514,253,true
515,252,true
516,252,true
517,252,true
518,252,true
519,252,true
520,252,true
521,252,true
522,252,true
523,251,true
524,251,true
525,251,true
526,251,true
527,251,true
528,250,true
529,250,true
530,250,true
531,250,true
532,249,true
533,249,true
534,249,true
535,249,true
536,249,true
537,249,true
538,249,true
539,248,true
540,248,true
541,248,true
542,248,true
543,248,true
544,248,true
545,248,true
546,248,true
547,248,true
548,248,true
549,247,true
550,247,true
551,247,true
552,247,true
553,247,true
554,246,true
555,246,true
556,246,true
557,246,true
558,245,true
559,245,true
560,245,true
561,245,true
562,245,true
563,245,true
564,245,true
565,245,true
566,244,true
567,244,true
568,244,true
569,244,true
570,244,true
571,244,true
572,243,true
573,243,true
574,243,true
575,243,true
576,243,true
577,242,true
578,242,true
579,242,true
580,242,true
581,241,true
582,241,true
583,241,true
584,241,true
585,241,true
586,240,true
587,240,true
588,240,true
589,240,true
590,240,true
591,240,true
592,239,true
593,239,true
594,239,true
595,239,true
596,239,true
597,239,true
598,239,true
599,239,true
600,239,true
601,238,true
602,238,true
603,238,true
604,238,true
605,238,true
606,238,true
607,238,true
608,238,true
609,238,true
610,238,true
611,238,true
612,237,true
613,237,true
614,237,true
615,237,true
616,237,true
617,237,true
618,237,true
619,236,true
620,236,true
621,236,true
622,236,true
623,236,true
624,236,true
625,236,true
626,236,true
627,236,true
628,235,true
629,235,true
630,235,true
631,235,true
632,234,true
633,234,true
634,234,true
635,234,true
636,234,true
637,234,true
638,233,true
639,233,true
640,233,true
641,233,true
642,233,true
643,233,true
644,233,true
645,232,true
646,232,true
647,232,true
648,232,true
649,232,true
650,231,true
651,231,true
652,231,true
653,231,true
654,231,true
655,231,true
656,231,true
657,231,true
658,231,true
659,231,true
660,231,true
661,230,true
662,230,true
663,230,true
664,230,true
665,230,true
666,230,true
667,229,true
668,229,true
669,228,true
670,228,true
671,228,true
672,228,true
673,227,true
674,227,true
675,227,true
676,227,true
677,227,true
678,227,true
679,226,true
680,226,true
681,226,true
682,226,true
683,225,true
684,225,true
685,225,true
686,225,true
687,225,true
688,225,true
689,225,true
690,225,true
