,genes,cluster,p_val,avg_logFC,scores,p_val_adj
1,UBA52,0,0.0003915619870010763,1.6439015865325928,3.5457065105438232,0.996669134717397
2,TOMM7,0,0.025940590200759436,1.3166966438293457,2.227100133895874,0.996669134717397
3,IL32,0,0.028359769015736558,1.331472635269165,2.1922733783721924,0.996669134717397
4,MACF1,0,0.031158311941493745,2.0507328510284424,2.1550450325012207,0.996669134717397
5,AP002990.1,0,0.07923540601610055,0.7647109031677246,1.755139708518982,0.996669134717397
6,LCK,0,0.08483149338176985,1.5084501504898071,1.7233154773712158,0.996669134717397
7,RPL36A,0,0.10028893188806638,0.8648513555526733,1.6434545516967773,0.996669134717397
8,TRBC2,0,0.12439792962403969,0.7563096284866333,1.5365729331970215,0.996669134717397
9,RPL36,0,0.12543122872271184,0.6356590986251831,1.5323697328567505,0.996669134717397
10,COX7C,0,0.1305455341329166,1.0160752534866333,1.5119540691375732,0.996669134717397
11,RPL41,0,0.1451959086497123,0.4368443489074707,1.456712007522583,0.996669134717397
12,RPL4P4,0,0.14989594207007492,2.407289505004883,1.4398990869522095,0.996669134717397
13,BX679664.3,0,0.1591089139268912,1.063045620918274,1.4080748558044434,0.996669134717397
14,RPL4P5,0,0.16071505765481087,4.013426780700684,1.4026707410812378,0.996669134717397
15,RPLP0,0,0.18311789590984606,0.5481936931610107,1.3312162160873413,0.996669134717397
16,RPL17-C18orf32,0,0.1845043987158297,0.8809626698493958,1.3270128965377808,0.996669134717397
17,RPL35,0,0.20154050365226417,0.5438425540924072,1.277174949645996,0.996669134717397
18,CYLD,0,0.2055967998300311,1.634806752204895,1.2657661437988281,0.996669134717397
19,LPXN,0,0.2084061357133925,2.935439109802246,1.2579602003097534,0.996669134717397
20,CHD3,0,0.2112431938576146,2.7839860916137695,1.2501542568206787,0.996669134717397
21,MAL,0,0.21344447280337264,2.668609857559204,1.2441496849060059,0.996669134717397
22,EEF1G,0,0.21477316046058958,0.7571433782577515,1.2405469417572021,0.996669134717397
23,SARAF,0,0.21633081899331086,0.8537918925285339,1.2363437414169312,0.996669134717397
24,CALM1,0,0.21879497052314822,0.5501669645309448,1.229738712310791,0.996669134717397
25,NDUFA4,0,0.22607787532461354,1.7966792583465576,1.210524082183838,0.996669134717397
26,RPL23AP42,0,0.22630822099772008,0.5979359149932861,1.2099236249923706,0.996669134717397
27,NKG7,1,1.9847801166412317e-15,5.276337623596191,7.9422926902771,1.4147512671418698e-11
28,CCL5,1,1.3269129645511002e-09,3.730607032775879,6.064104080200195,4.729117805660121e-06
29,GNLY,1,2.2991570177038414e-09,4.410667896270752,5.975123882293701,5.462797074064328e-06
30,GZMA,1,2.031024645508019e-05,4.757748126983643,4.261452674865723,0.02184442736325446
31,IFITM1,1,0.0005925014475399371,2.216731071472168,3.4350240230560303,0.30166787986176224
32,ARL4C,1,0.0008466308640099987,3.0613903999328613,3.3370816707611084,0.3240119304295625
33,PLEK,1,0.000864350894552382,3.0043623447418213,3.331320285797119,0.3240119304295625
34,PFN1,1,0.0009028948453708433,1.6064143180847168,3.319157600402832,0.3240119304295625
35,KLRD1,1,0.0009091243839213313,7.367051601409912,3.317237138748169,0.3240119304295625
36,HCST,1,0.001159167891502544,2.5017406940460205,3.248741388320923,0.3934547014585778
37,CD247,1,0.005508750226159703,2.8428773880004883,2.7756733894348145,0.9969542061523582
38,FGFBP2,1,0.005820079961185754,4.727606296539307,2.757749319076538,0.9969542061523582
39,SPON2,1,0.006366116708472917,4.459084510803223,2.7283027172088623,0.9969542061523582
40,CFL1,1,0.00851339211099798,1.2843953371047974,2.631000518798828,0.9969542061523582
41,CCL4,1,0.01269942986974188,4.086319923400879,2.492088794708252,0.9969542061523582
42,IFITM2,1,0.01677576156591853,1.408901333808899,2.3915858268737793,0.9969542061523582
43,CTSW,1,0.021409438454769836,2.452951192855835,2.300685167312622,0.9969542061523582
44,MYL12A,1,0.024360605013271835,1.4072328805923462,2.2513937950134277,0.9969542061523582
45,GZMB,1,0.02913774479395872,4.731688022613525,2.1816179752349854,0.9969542061523582
46,SH3BGRL3,1,0.030833662627697253,1.3403329849243164,2.159212827682495,0.9969542061523582
47,GNAI2,1,0.030933080767071453,1.699568748474121,2.1579325199127197,0.9969542061523582
48,PPIA,1,0.03313809149248973,1.0460319519042969,2.130406141281128,0.9969542061523582
49,CST7,1,0.03404623072411028,2.347191095352173,2.119523763656616,0.9969542061523582
50,PTPRC,1,0.039768130992718184,1.1274127960205078,2.0561492443084717,0.9969542061523582
51,ANXA1,1,0.04699188473912303,2.2969164848327637,1.9863733053207397,0.9969542061523582
52,TRBC2,1,0.0496824460746101,1.0437425374984741,1.9626879692077637,0.9969542061523582
53,SARAF,1,0.05013070082366683,1.3772586584091187,1.9588470458984375,0.9969542061523582
54,IL32,1,0.06468026334233648,1.2331993579864502,1.8474615812301636,0.9969542061523582
55,HLA-H,1,0.06828278258915818,1.6893177032470703,1.8231360912322998,0.9969542061523582
56,LRRFIP1,1,0.07661990288107276,1.4977527856826782,1.7706440687179565,0.9969542061523582
57,HLA-F,1,0.08460795419366175,1.1905930042266846,1.7245535850524902,0.9969542061523582
58,ID2,1,0.09029824310303691,1.6095514297485352,1.6938265562057495,0.9969542061523582
59,KLF6,1,0.10206306609282405,1.2903482913970947,1.6349331140518188,0.9969542061523582
60,KLRF1,1,0.10206306609282405,5.719970703125,1.6349331140518188,0.9969542061523582
61,LAPTM5,1,0.10601457933638618,1.2345679998397827,1.6163688898086548,0.9969542061523582
62,ADD3,1,0.10937572565438371,1.677263855934143,1.6010054349899292,0.9969542061523582
